"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AND1","SN74LVC1G08DBVRE4","","Single AND Gate:SOT95P280X145-5N","1",""
"BPS1,CT1","Screw_Terminal_01x04","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","2",""
"BPS_T1,CT_T1,VrefBPS1,VrefCT1","TestPoint","~","TestPoint:TestPoint_Pad_D1.0mm","4",""
"BSPD_Output1,VCC/GND1","Screw_Terminal_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"BSPD_Power_LED1,BSPD_Status_LED1,Fault_LED1,Relay_Status_LED1","CQY99","https://www.prtice.info/IMG/pdf/CQY99.pdf","LED_THT:LED_D5.0mm_IRGrey","4",""
"C1","0.33uf","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"C2,C3,C4,C5,C6,C8,C9,C10,C11,C14,C15,C16","0.1uf","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","12",""
"C7","10nF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","1",""
"C12,C13","10uF","~","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","2",""
"D1","D","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"F1","Polyfuse","~","Fuse:Fuse_Littelfuse_395Series","1",""
"K1","SRD-12VDC-SL-C","","Relay SPDT 12V:RELAY_SRD-12VDC-SL-C","1",""
"Q1,Q2,Q3,Q4,Q5","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","5",""
"R1,R12,R20,R21,R22","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R2,R8","5k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R3,R6,R7,R9,R11,R14,R15,R16","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","8",""
"R4,R5,R13,R17,R18,R19","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"R10","750k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220F-3_Horizontal_TabUp","1",""
"U2,U4","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","LM741CN_NOPB:DIP794W45P254L959H508Q8","2",""
"U3","NE555D","http://www.ti.com/lit/ds/symlink/ne555.pdf","NE555:DIP254P762X533-8","1",""
"U5,U6","LM393DR","","LM393_THT:DIP794W45P254L959H508Q8","2",""
"VR1,VR2","10K","","Trimmer Pot:TRIM_3296W-OT1-103LF","2",""
