Reference,Value,Footprint,Qty,DNP
"C1,C2",C_Polarized,Capacitor_THT:CP_Radial_D12.5mm_P7.50mm,2,
"D1,D2",D,Diode_THT:D_A-405_P7.62mm_Horizontal,2,
D3,LED,LED_THT:LED_D5.0mm,1,
F1,Polyfuse,Fuse:Fuse_BelFuse_0ZRE0008FF_L8.3mm_W3.8mm,1,
J1,Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,
"J3,J4,J5,J6",Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,4,
"JP1,JP2",Jumper_2_Open,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,2,
"K1,K2",Relay_DPDT,Relay_THT:Relay_DPDT_Finder_40.52,2,
"Q1,Q2,Q5,Q6",NPN,-- mixed values --,4,
"Q3,Q4",BC547,Package_TO_SOT_THT:TO-92_Inline,2,
"R1,R3,R4,R5,R14,R16,R17,R18,R21",1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,9,
"R2,R6,R7,R15,R19,R20",10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,
"R8,R11",10k,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,
"R9,R12",100,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,
"R10,R13",220,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,
"U1,U2",4N25,Package_DIP:DIP-6_W7.62mm,2,
