Reference,Value,Footprint,Qty,DNP
AND1,SN74LVC1G08DBVRE4,SN74LVC1G08DBVRE4:SOT95P280X145-5N,1,
C1,10nF,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,1,
"C2,C3",10uF,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,2,
C4,1nF,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,1,
"C5,C6,C7,C8,C9",0.1uF,Capacitor_THT:CP_Radial_D4.0mm_P2.00mm,5,
"D1,D2,D3",1N4148WT,Diode_THT:D_A-405_P7.62mm_Horizontal,3,
"F1,F2,F3",Fuse,Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm,3,
IC1,LM393AN,Package_DIP:DIP-8_W7.62mm_Socket,1,
"J1,J2,J4",Conn_01x02_Pin,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",3,
J3,AIR+VE,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J5,ToPreChargeRelay,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
"J6,J7",SDC,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,
J8,To TSAL,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J9,AIR-VE,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
"K4,K5,K6",SRD-12VDC-SL-C,Relay_THT:Relay_SPDT_Hongfa_HF3F-L-xx-1ZL1T,3,
"PRELED1,timerLED1",CQY99,LED_THT:LED_D5.0mm_IRGrey,2,
"Q1,Q2,Q6",2N3904,Package_TO_SOT_THT:TO-92_Inline_Wide,3,
"Q5,Q7",IRLZ44N,Package_TO_SOT_THT:TO-220-3_Vertical,2,
"R1,R30,R31",10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,
"R2,R4,R5,R6,R7,R11,R17,R21,R26,R27,R29",1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,11,
R3,272k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
R8,22k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
"R9,R20",220k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
R10,330k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
"R12,R19,R25",12k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,
"R13,R22",47k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
R14,470k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
"R15,R23",20k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
"R16,R18",6k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,
R24,220,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
R28,4k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
U1,LM358AN_Obsolete,Package_DIP:DIP-8_W7.62mm,1,
U2,NE555D,Package_DIP:DIP-8_W7.62mm,1,
U3,4N35,Package_DIP:DIP-6_W7.62mm,1,
U4,74AHC1G04,Package_TO_SOT_SMD:SOT-23-5,1,
U5,L7805,Package_TO_SOT_THT:TO-220-3_Vertical,1,
